L,N,dx,b,sample,delta,pin_height,area,radius,wrap
12.0,48,0.25,1.2,0,0.25,1.45,5.75,3.5355339059327378,0.0
12.0,48,0.25,1.2,1,0.25,1.45,13.8125,4.00780488547035,0.0
12.0,48,0.25,1.2,2,0.25,1.45,2.125,1.6770509831248424,0.0
12.0,48,0.25,1.2,3,0.25,1.45,5.375,2.850438562747845,0.0
12.0,48,0.25,1.2,4,0.25,1.45,2.625,2.1360009363293826,0.0
12.0,48,0.25,1.2,5,0.25,1.45,4.0,2.6100766272276377,0.0
12.0,48,0.25,1.2,6,0.25,1.45,2.5,2.1505813167606567,0.0
12.0,48,0.25,1.2,7,0.25,1.45,9.8125,3.3634060117684275,0.0
12.0,48,0.25,1.2,8,0.25,1.45,27.25,7.352720584926371,0.0
12.0,48,0.25,1.2,9,0.25,1.45,10.875,4.2793106921559225,0.0
12.0,48,0.25,1.2,10,0.25,1.45,11.9375,4.75,0.0
12.0,48,0.25,1.2,11,0.25,1.45,26.375,7.075485849042453,0.0
12.0,48,0.25,1.2,12,0.25,1.45,16.125,6.604922406811453,0.0
12.0,48,0.25,1.2,13,0.25,1.45,14.1875,4.589389937671455,0.0
12.0,48,0.25,1.2,14,0.25,1.45,7.6875,3.69120576505835,0.0
12.0,48,0.25,1.2,15,0.25,1.45,4.5625,3.3354160160315836,0.0
12.0,48,0.25,1.2,16,0.25,1.45,1.0,0.7905694150420949,0.0
12.0,48,0.25,1.2,17,0.25,1.45,18.0625,6.5,0.0
12.0,48,0.25,1.2,18,0.25,1.45,9.5625,6.046693311223912,0.0
12.0,48,0.25,1.2,19,0.25,1.45,4.625,2.7950849718747373,0.0
12.0,48,0.25,1.2,20,0.25,1.45,3.5625,1.6007810593582121,0.0
12.0,48,0.25,1.2,21,0.25,1.45,3.5,1.8027756377319946,0.0
12.0,48,0.25,1.2,22,0.25,1.45,7.8125,4.756574397610112,0.0
12.0,48,0.25,1.2,23,0.25,1.45,1.8125,1.6770509831248424,0.0
12.0,48,0.25,1.2,24,0.25,1.45,6.0,2.7950849718747373,0.0
12.0,48,0.25,1.2,25,0.25,1.45,2.1875,1.8027756377319946,0.0
12.0,48,0.25,1.2,26,0.25,1.45,12.875,3.2596012026013246,0.0
12.0,48,0.25,1.2,27,0.25,1.45,5.6875,3.5794552658190883,0.0
12.0,48,0.25,1.2,28,0.25,1.45,3.0,2.0155644370746373,0.0
12.0,48,0.25,1.2,29,0.25,1.45,7.9375,2.9261749776799064,0.0
12.0,48,0.25,1.2,30,0.25,1.45,3.6875,2.23606797749979,0.0
12.0,48,0.25,1.2,31,0.25,1.45,1.25,1.0307764064044151,0.0
12.0,48,0.25,1.2,32,0.25,1.45,8.875,3.5794552658190883,0.0
12.0,48,0.25,1.2,33,0.25,1.45,7.6875,3.020761493398643,0.0
12.0,48,0.25,1.2,34,0.25,1.45,8.25,3.0413812651491097,0.0
12.0,48,0.25,1.2,35,0.25,1.45,2.625,2.1360009363293826,0.0
12.0,48,0.25,1.2,36,0.25,1.45,10.4375,3.2882366094914763,0.0
12.0,48,0.25,1.2,37,0.25,1.45,2.875,2.1360009363293826,0.0
12.0,48,0.25,1.2,38,0.25,1.45,8.9375,4.138236339311712,0.0
12.0,48,0.25,1.2,39,0.25,1.45,20.375,8.31038506929733,0.0
12.0,48,0.25,1.2,40,0.25,1.45,7.1875,5.533985905294664,0.0
12.0,48,0.25,1.2,41,0.25,1.45,10.6875,4.038873605350878,0.0
12.0,48,0.25,1.2,42,0.25,1.45,4.625,3.181980515339464,0.0
12.0,48,0.25,1.2,43,0.25,1.45,3.4375,1.8200274723201295,0.0
12.0,48,0.25,1.2,44,0.25,1.45,7.4375,4.25,0.0
12.0,48,0.25,1.2,45,0.25,1.45,19.3125,6.324555320336759,0.0
12.0,48,0.25,1.2,46,0.25,1.45,4.125,3.132491021535417,0.0
12.0,48,0.25,1.2,47,0.25,1.45,7.75,3.913118960624632,0.0
12.0,48,0.25,1.2,48,0.25,1.45,2.375,1.5811388300841898,0.0
12.0,48,0.25,1.2,49,0.25,1.45,12.1875,5.706356105256663,0.0
12.0,48,0.25,1.2,50,0.25,1.45,8.875,4.8541219597369,0.0
12.0,48,0.25,1.2,51,0.25,1.45,1.625,1.25,0.0
12.0,48,0.25,1.2,52,0.25,1.45,1.25,1.2747548783981961,0.0
12.0,48,0.25,1.2,53,0.25,1.45,18.875,5.273755777432247,0.0
12.0,48,0.25,1.2,54,0.25,1.45,0.8125,0.7071067811865476,0.0
12.0,48,0.25,1.2,55,0.25,1.45,6.625,2.5495097567963922,0.0
12.0,48,0.25,1.2,56,0.25,1.45,17.375,4.596194077712559,0.0
12.0,48,0.25,1.2,57,0.25,1.45,3.875,1.9039432764659772,0.0
12.0,48,0.25,1.2,58,0.25,1.45,9.125,3.7165171868296265,0.0
12.0,48,0.25,1.2,59,0.25,1.45,6.5,3.132491021535417,0.0
12.0,48,0.25,1.2,60,0.25,1.45,0.5,0.5590169943749475,0.0
12.0,48,0.25,1.2,61,0.25,1.45,2.6875,2.0155644370746373,0.0
12.0,48,0.25,1.2,62,0.25,1.45,6.125,2.6100766272276377,0.0
12.0,48,0.25,1.2,63,0.25,1.45,3.5,1.6770509831248424,0.0
12.0,48,0.25,1.2,64,0.25,1.45,6.125,2.850438562747845,0.0
12.0,48,0.25,1.2,65,0.25,1.45,2.375,2.0155644370746373,0.0
12.0,48,0.25,1.2,66,0.25,1.45,1.6875,1.4577379737113252,0.0
12.0,48,0.25,1.2,67,0.25,1.45,4.3125,2.9154759474226504,0.0
12.0,48,0.25,1.2,68,0.25,1.45,12.8125,5.482928049865327,0.0
12.0,48,0.25,1.2,69,0.25,1.45,7.0625,3.48209706929603,0.0
12.0,48,0.25,1.2,70,0.25,1.45,6.875,3.132491021535417,0.0
12.0,48,0.25,1.2,71,0.25,1.45,9.1875,3.640054944640259,0.0
12.0,48,0.25,1.2,72,0.25,1.45,1.125,0.9013878188659973,0.0
12.0,48,0.25,1.2,73,0.25,1.45,21.25,7.211102550927978,0.0
12.0,48,0.25,1.2,74,0.25,1.45,4.5625,2.7950849718747373,0.0
12.0,48,0.25,1.2,75,0.25,1.45,1.375,1.118033988749895,0.0
12.0,48,0.25,1.2,76,0.25,1.45,1.75,1.25,0.0
12.0,48,0.25,1.2,77,0.25,1.45,1.25,1.0307764064044151,0.0
12.0,48,0.25,1.2,78,0.25,1.45,4.6875,3.400367627183861,0.0
12.0,48,0.25,1.2,79,0.25,1.45,1.3125,1.25,0.0
12.0,48,0.25,1.2,80,0.25,1.45,9.0,4.272001872658765,0.0
12.0,48,0.25,1.2,81,0.25,1.45,7.1875,4.16082924427331,0.0
