L,N,dx,b,samples,delta,pin_height,mean_area,se_area,ci95_low,ci95_high,median_area,p90_area,mean_radius,wrap_rate,area_over_L2
12.0,48,0.25,1.2,300,0.25,1.45,6.933958333333333,0.3589127635773658,6.230489316721696,7.63742734994497,5.3125,15.693750000000001,3.128847601296823,0.0033333333333333335,0.04815248842592593
12.0,48,0.25,0.8,300,0.25,1.05,13.565833333333334,0.7275112543361817,12.139911274834418,14.99175539183225,9.125,29.825000000000003,4.329169091667956,0.02666666666666667,0.09420717592592592
12.0,48,0.25,0.4,300,0.25,0.65,33.81395833333333,1.2966367104332401,31.27255038088418,36.35536628578248,33.0,64.46875,6.184549973483601,0.20333333333333334,0.23481915509259257
12.0,48,0.25,0.2,300,0.25,0.45,48.307291666666664,1.4405570850283995,45.483799780011005,51.130783553322324,54.84375,75.65000000000002,7.00607501041795,0.43666666666666665,0.3354673032407407
24.0,96,0.25,1.2,300,0.25,1.45,6.741666666666666,0.33761189427463034,6.079947353888391,7.403385979444941,4.90625,13.693750000000016,3.199498632033551,0.0,0.011704282407407406
24.0,96,0.25,0.8,300,0.25,1.05,14.928125,0.9225877414990692,13.119853026661824,16.736396973338174,9.3125,34.98125000000001,4.929383965959323,0.0,0.025916883680555555
24.0,96,0.25,0.4,300,0.25,0.65,61.973125,3.4712294821333383,55.16951521501866,68.77673478498134,38.5,151.28750000000002,9.4850412615196,0.03666666666666667,0.10759223090277778
24.0,96,0.25,0.2,300,0.25,0.45,130.19416666666666,5.3496539031164385,119.70884501655844,140.6794883167749,135.03125,250.29375000000005,12.457336144279573,0.24333333333333335,0.22603153935185183
48.0,192,0.25,1.2,300,0.25,1.45,7.40375,0.38096167616180676,6.657065114722858,8.150434885277141,5.34375,16.187500000000014,3.340936324197335,0.0,0.003213433159722222
48.0,192,0.25,0.8,300,0.25,1.05,16.290416666666665,0.9607207070069742,14.407404080932995,18.173429252400336,11.3125,38.06875,5.327673117567823,0.0,0.007070493344907407
48.0,192,0.25,0.4,300,0.25,0.65,67.4475,4.73994303822041,58.157211645088,76.73778835491201,36.15625,162.26875,11.214429227658911,0.0033333333333333335,0.02927408854166667
48.0,192,0.25,0.2,300,0.25,0.45,230.3275,14.079920565368623,202.73085569187748,257.9241443081225,132.59375,654.9625000000001,18.752640025941783,0.043333333333333335,0.09996853298611111
